"BID" "SSID"
"3998352131_R07C01" "CA0000010008"
"3998346047_R04C01" "CA0000010010"
"3998352074_R04C02" "CA0000010020"
"3998346117_R02C02" "CA0000010022"
"3998370162_R12C02" "CA0000001006"
"3998352106_R10C01" "CA0000010066"
"3998346075_R10C01" "CA0000010067"
"3998346047_R06C02" "CA0000010068"
"3998359166_R11C02" "CA0000010088"
"3998346075_R03C01" "CA0000010089"
"3998352106_R04C02" "CA0000010090"
"3998346071_R03C02" "CA0000010104"
"3998346071_R05C02" "CA0000010105"
"3998370132_R04C01" "CA0000010106"
"3998370132_R06C02" "CA0000010124"
"3998346045_R10C02" "CA0000010125"
"3998370132_R07C02" "CA0000010143"
"3998352005_R10C02" "CA0000010156"
"3998346075_R07C02" "CA0000010157"
"3998352062_R09C02" "CA0000010182"
"3998346021_R05C01" "CA0000010183"
"3998352074_R02C02" "CA0000010184"
"3998346045_R10C01" "CA0000001026"
"3998352111_R10C02" "CA0000001027"
"3998370052_R05C02" "CA0000010278"
"3998359166_R02C01" "CA0000001028"
"3998352167_R02C02" "CA0000000103"
"3998352062_R03C01" "CA0000010339"
"3998346011_R05C02" "CA0000000104"
"3998346070_R01C01" "CA0000001041"
"3998370132_R10C01" "CA0000001043"
"3998352084_R12C01" "CA0000010451"
"3998370056_R04C02" "CA0000010453"
"3998346075_R02C02" "CA0000010511"
"3998346047_R08C02" "CA0000010528"
"3998346075_R09C01" "CA0000010557"
"3998370063_R07C02" "CA0000010558"
"3998352106_R03C02" "CA0000010559"
"3998346117_R01C02" "CA0000010585"
"3998359118_R02C01" "CA0000010586"
"3998359118_R04C01" "CA0000010587"
"3998359166_R10C01" "CA0000010610"
"3998352084_R05C01" "CA0000010611"
"3998370056_R09C02" "CA0000010612"
"3998352005_R05C01" "CA0000010638"
"3998359017_R10C02" "CA0000010639"
"3998359111_R06C02" "CA0000010640"
"3998352147_R12C01" "CA0000010654"
"3998352147_R12C02" "CA0000010655"
"3998352005_R07C02" "CA0000010667"
"3998346070_R08C01" "CA0000010668"
"3998346047_R05C02" "CA0000010683"
"3998352111_R06C02" "CA0000010684"
"3998359166_R04C01" "CA0000010685"
"3998370043_R11C01" "CA0000010703"
"3998346071_R07C02" "CA0000010704"
"3998352005_R07C01" "CA0000010705"
"3998352071_R05C02" "CA0000001071"
"3998352136_R02C01" "CA0000001072"
"3998370063_R12C01" "CA0000010762"
"3998346117_R10C02" "CA0000010763"
"3998346070_R03C01" "CA0000010764"
"3998352005_R08C02" "CA0000010774"
"3998346117_R06C01" "CA0000010775"
"3998352088_R06C01" "CA0000001079"
"3998370056_R11C01" "CA0000000108"
"3998346070_R04C01" "CA0000001081"
"3998352062_R11C01" "CA0000010817"
"3998352147_R08C02" "CA0000010819"
"3998352136_R07C01" "CA0000010857"
"3998352073_R07C01" "CA0000010858"
"3998346045_R02C01" "CA0000010859"
"3998370109_R08C01" "CA0000010886"
"3998352074_R08C02" "CA0000010887"
"3998346117_R08C01" "CA0000000109"
"3998346071_R08C02" "CA0000010954"
"3998346072_R02C01" "CA0000010955"
"3998352005_R03C02" "CA0000010956"
"3998359166_R07C02" "CA0000010996"
"3998352111_R08C02" "CA0000010997"
"3998359111_R05C01" "CA0000010998"
"3998346021_R10C01" "CA0000011057"
"3998352074_R01C01" "CA0000011058"
"3998352062_R12C02" "CA0000011059"
"3998352062_R07C01" "CA0000011132"
"3998346021_R08C02" "CA0000011133"
"3998370132_R01C01" "CA0000011136"
"3998352074_R08C01" "CA0000011138"
"3998359111_R10C02" "CA0000011139"
"3998370132_R08C01" "CA0000011140"
"3998370052_R06C01" "CA0000011194"
"3998359017_R09C02" "CA0000011216"
"3998370109_R05C01" "CA0000011218"
"3998352147_R04C01" "CA0000011265"
"3998346021_R02C01" "CA0000011266"
"3998370109_R11C02" "CA0000011317"
"3998370043_R10C01" "CA0000011318"
"3998352005_R04C01" "CA0000011332"
"3998346011_R09C02" "CA0000011333"
"3998346021_R01C02" "CA0000011334"
"3998346047_R01C02" "CA0000011348"
"3998352111_R12C02" "CA0000011349"
"3998359111_R02C01" "CA0000011350"
"3998359017_R10C01" "CA0000011371"
"3998352084_R03C01" "CA0000011372"
"3998352106_R02C01" "CA0000011502"
"3998370056_R11C02" "CA0000011503"
"3998370025_R11C01" "CA0000011520"
"3998346047_R04C02" "CA0000011521"
"3998370043_R10C02" "CA0000011522"
"3998346045_R04C02" "CA0000011561"
"3998370056_R08C01" "CA0000011567"
"3998346075_R08C02" "CA0000011569"
"3998370052_R03C01" "CA0000011585"
"3998370109_R06C02" "CA0000011654"
"3998370037_R03C02" "CA0000011658"
"3998352005_R11C02" "CA0000011661"
"3998352005_R08C01" "CA0000011662"
"3998352131_R06C01" "CA0000001175"
"3998352106_R05C01" "CA0000011752"
"3998370132_R04C02" "CA0000011753"
"3998370132_R05C02" "CA0000011754"
"3998359017_R05C02" "CA0000011759"
"3998346072_R03C02" "CA0000001176"
"3998370109_R03C02" "CA0000011760"
"3998352162_R03C02" "CA0000001177"
"3998346045_R11C01" "CA0000001180"
"3998352071_R03C02" "CA0000001181"
"3998352131_R10C02" "CA0000001182"
"3998370056_R09C01" "CA0000012181"
"3998352084_R08C02" "CA0000012182"
"3998370056_R06C02" "CA0000012183"
"3998352147_R05C02" "CA0000012200"
"3998370109_R04C01" "CA0000012201"
"3998370043_R08C01" "CA0000012212"
"3998370043_R12C02" "CA0000012213"
"3998370043_R01C02" "CA0000012221"
"3998352062_R07C02" "CA0000012222"
"3998346070_R12C01" "CA0000001223"
"3998370162_R09C02" "CA0000001224"
"3998359017_R09C01" "CA0000012285"
"3998352074_R12C02" "CA0000012287"
"3998346072_R07C01" "CA0000012374"
"3998370043_R02C01" "CA0000012375"
"3998346072_R12C02" "CA0000012376"
"3998370162_R04C02" "CA0000001239"
"3998352088_R02C01" "CA0000001240"
"3998352131_R01C01" "CA0000012406"
"3998370109_R07C01" "CA0000012407"
"3998352005_R05C02" "CA0000012408"
"3998352062_R06C01" "CA0000012485"
"3998352062_R12C01" "CA0000012486"
"3998352062_R01C02" "CA0000012487"
"3998370043_R04C02" "CA0000012512"
"3998352005_R11C01" "CA0000012513"
"3998370109_R03C01" "CA0000012514"
"3998370063_R01C01" "CA0000012614"
"3998352106_R07C01" "CA0000012615"
"3998352129_R12C01" "CA0000012616"
"3998346072_R01C02" "CA0000012695"
"3998359166_R11C01" "CA0000012697"
"3998370052_R01C01" "CA0000012713"
"3998370052_R03C02" "CA0000012774"
"3998352062_R02C01" "CA0000012863"
"3998352071_R12C01" "CA0000012919"
"3998352005_R12C02" "CA0000012920"
"3998346072_R11C02" "CA0000012921"
"3998346070_R07C01" "CA0000012957"
"3998359017_R01C02" "CA0000012958"
"3998370109_R09C02" "CA0000012959"
"3998346047_R09C01" "CA0000012961"
"3998346045_R05C01" "CA0000001298"
"3998370132_R12C02" "CA0000013015"
"3998370109_R04C02" "CA0000013016"
"3998370109_R10C02" "CA0000013017"
"3998370037_R10C02" "CA0000001309"
"3998352147_R09C02" "CA0000013129"
"3998352131_R06C02" "CA0000013130"
"3998346070_R09C01" "CA0000013131"
"3998346072_R05C02" "CA0000013154"
"3998352062_R02C02" "CA0000013155"
"3998352088_R04C01" "CA0000001323"
"3998352131_R02C02" "CA0000001324"
"3998346117_R06C02" "CA0000013335"
"3998346117_R04C02" "CA0000013336"
"3998346072_R10C02" "CA0000013337"
"3998346070_R09C02" "CA0000001343"
"3998352005_R01C02" "CA0000001345"
"3998352088_R09C01" "CA0000001350"
"3998352088_R11C01" "CA0000001351"
"3998370162_R08C02" "CA0000001352"
"3998352074_R05C01" "CA0000013543"
"3998346072_R07C02" "CA0000013545"
"3998370063_R10C02" "CA0000013622"
"3998352147_R11C02" "CA0000013638"
"3998370063_R10C01" "CA0000013639"
"3998370162_R01C02" "CA0000013696"
"3998352088_R07C01" "CA0000001371"
"3998352111_R10C01" "CA0000001372"
"3998359111_R03C02" "CA0000001373"
"3998352164_R04C02" "CA0000013733"
"3998352084_R11C02" "CA0000013734"
"3998352084_R12C02" "CA0000013735"
"3998352131_R01C02" "CA0000001394"
"3998352131_R12C02" "CA0000001395"
"3998359019_R03C02" "CA0000001396"
"3998359111_R01C02" "CA0000001401"
"3998346034_R04C02" "CA0000001402"
"3998352071_R02C01" "CA0000014077"
"3998352062_R10C01" "CA0000014078"
"3998352074_R07C02" "CA0000014079"
"3998352071_R10C02" "CA0000014094"
"3998346034_R03C02" "CA0000014095"
"3998352136_R07C02" "CA0000014096"
"3998352129_R05C01" "CA0000014097"
"3998370025_R04C02" "CA0000014098"
"3998352106_R12C01" "CA0000014099"
"3998359111_R01C01" "CA0000000141"
"3998352062_R06C02" "CA0000014110"
"3998346117_R09C02" "CA0000014111"
"3998370109_R06C01" "CA0000014112"
"3998359019_R01C02" "CA0000014118"
"3998352131_R07C02" "CA0000014119"
"3998359111_R03C01" "CA0000001412"
"3998370109_R02C02" "CA0000014120"
"3998352131_R08C01" "CA0000014127"
"3998370025_R03C01" "CA0000014129"
"3998346071_R03C01" "CA0000001413"
"3998346072_R12C01" "CA0000014135"
"3998346072_R02C02" "CA0000014136"
"3998346071_R06C02" "CA0000014137"
"3998346071_R02C01" "CA0000001414"
"3998352167_R11C02" "CA0000014141"
"3998352162_R06C02" "CA0000014143"
"3998346071_R12C02" "CA0000014148"
"3998346034_R02C02" "CA0000014149"
"3998359019_R08C01" "CA0000014150"
"3998370043_R06C02" "CA0000014156"
"3998370043_R01C01" "CA0000014157"
"3998370109_R01C02" "CA0000014163"
"3998370132_R02C02" "CA0000014164"
"3998370056_R02C01" "CA0000014165"
"3998352071_R04C01" "CA0000014167"
"3998370132_R07C01" "CA0000014168"
"3998359017_R03C02" "CA0000014169"
"3998352129_R09C02" "CA0000014171"
"3998346011_R09C01" "CA0000014172"
"3998346003_R03C02" "CA0000014173"
"3998346003_R06C01" "CA0000014174"
"3998352084_R07C01" "CA0000014175"
"3998370056_R10C02" "CA0000014176"
"3998352136_R09C01" "CA0000014183"
"3998352084_R06C01" "CA0000014184"
"3998352084_R05C02" "CA0000014185"
"3998370063_R11C02" "CA0000014189"
"3998346003_R07C02" "CA0000014190"
"3998346003_R09C02" "CA0000014191"
"3998370056_R07C02" "CA0000014193"
"3998346047_R10C02" "CA0000014198"
"3998346075_R11C02" "CA0000014199"
"3998359166_R12C02" "CA0000000142"
"3998346075_R12C01" "CA0000014200"
"3998346075_R02C01" "CA0000014201"
"3998346047_R06C01" "CA0000014203"
"3998346075_R05C01" "CA0000014204"
"3998370025_R08C02" "CA0000014205"
"3998352071_R08C01" "CA0000014207"
"3998346071_R01C01" "CA0000014208"
"3998370162_R08C01" "CA0000014209"
"3998352164_R08C01" "CA0000014222"
"3998352088_R03C02" "CA0000014223"
"3998352071_R02C02" "CA0000014224"
"3998370162_R06C01" "CA0000014242"
"3998359019_R09C01" "CA0000014245"
"3998352084_R01C02" "CA0000014246"
"3998359019_R03C01" "CA0000014252"
"3998359166_R05C01" "CA0000014254"
"3998352106_R11C01" "CA0000014255"
"3998352106_R03C01" "CA0000014256"
"3998359111_R02C02" "CA0000014259"
"3998346011_R10C01" "CA0000014260"
"3998352106_R02C02" "CA0000014264"
"3998346075_R03C02" "CA0000014265"
"3998346075_R01C01" "CA0000014266"
"3998370052_R04C01" "CA0000014269"
"3998352121_R03C01" "CA0000014270"
"3998370025_R12C02" "CA0000014274"
"3998359019_R11C01" "CA0000014281"
"3998346003_R02C02" "CA0000014282"
"3998370037_R12C02" "CA0000014283"
"3998370052_R09C01" "CA0000014285"
"3998346045_R01C01" "CA0000014291"
"3998352167_R02C01" "CA0000014301"
"3998352062_R04C01" "CA0000014302"
"3998352167_R05C02" "CA0000014303"
"3998370063_R05C02" "CA0000014310"
"3998370162_R07C02" "CA0000014311"
"3998370063_R08C01" "CA0000014312"
"3998352121_R10C02" "CA0000014316"
"3998359019_R12C01" "CA0000014325"
"3998352071_R12C02" "CA0000014326"
"3998346072_R09C01" "CA0000014327"
"3998346070_R10C02" "CA0000014344"
"3998346071_R11C01" "CA0000014346"
"3998346034_R06C02" "CA0000014349"
"3998346070_R02C02" "CA0000014351"
"3998346070_R08C02" "CA0000014358"
"3998352106_R11C02" "CA0000001436"
"3998359166_R02C02" "CA0000014360"
"3998346070_R10C01" "CA0000014367"
"3998352136_R06C01" "CA0000014368"
"3998352129_R10C02" "CA0000014369"
"3998352106_R01C02" "CA0000001437"
"3998346034_R10C01" "CA0000014370"
"3998346071_R09C01" "CA0000014371"
"3998370162_R03C02" "CA0000014372"
"3998352106_R06C01" "CA0000001438"
"3998370043_R12C01" "CA0000014388"
"3998346021_R09C02" "CA0000014389"
"3998352071_R07C02" "CA0000014394"
"3998346045_R05C02" "CA0000014395"
"3998346034_R11C02" "CA0000014396"
"3998352162_R10C02" "CA0000014399"
"3998352162_R07C02" "CA0000014400"
"3998359019_R10C01" "CA0000014401"
"3998352110_R09C01" "CA0000014405"
"3998352136_R05C02" "CA0000014406"
"3998346072_R05C01" "CA0000014407"
"3998352110_R02C02" "CA0000014416"
"3998352162_R05C02" "CA0000014417"
"3998352110_R03C01" "CA0000014419"
"3998346034_R01C02" "CA0000014420"
"3998346034_R12C01" "CA0000014421"
"3998346034_R05C02" "CA0000014441"
"3998352110_R05C01" "CA0000014445"
"3998352110_R07C01" "CA0000014446"
"3998346021_R10C02" "CA0000014447"
"3998352005_R06C01" "CA0000014449"
"3998352167_R08C01" "CA0000014451"
"3998346034_R05C01" "CA0000014457"
"3998359166_R08C01" "CA0000014458"
"3998346034_R11C01" "CA0000014459"
"3998352167_R11C01" "CA0000014464"
"3998352164_R04C01" "CA0000014465"
"3998352110_R04C01" "CA0000014466"
"3998352110_R11C01" "CA0000014472"
"3998352164_R07C02" "CA0000014473"
"3998346072_R06C01" "CA0000014474"
"3998352136_R10C01" "CA0000014481"
"3998370043_R07C01" "CA0000014482"
"3998346071_R09C02" "CA0000014483"
"3998346070_R03C02" "CA0000014498"
"3998370043_R11C02" "CA0000014499"
"3998370063_R04C01" "CA0000014500"
"3998346072_R03C01" "CA0000014512"
"3998370043_R03C01" "CA0000014514"
"3998352062_R10C02" "CA0000014522"
"3998352164_R01C02" "CA0000014523"
"3998352074_R05C02" "CA0000014525"
"3998352005_R03C01" "CA0000014526"
"3998352062_R04C02" "CA0000014537"
"3998346117_R03C01" "CA0000014538"
"3998352129_R08C01" "CA0000014572"
"3998352136_R01C02" "CA0000014573"
"3998352167_R01C02" "CA0000014575"
"3998359017_R05C01" "CA0000014583"
"3998370025_R05C01" "CA0000014584"
"3998370132_R05C01" "CA0000014585"
"3998352074_R06C01" "CA0000014591"
"3998359017_R01C01" "CA0000014592"
"3998352074_R09C01" "CA0000014595"
"3998352147_R06C02" "CA0000014596"
"3998370132_R12C01" "CA0000014597"
"3998359017_R08C01" "CA0000014610"
"3998352005_R09C01" "CA0000014611"
"3998370063_R11C01" "CA0000014612"
"3998359017_R06C01" "CA0000014616"
"3998370109_R05C02" "CA0000014617"
"3998359017_R04C01" "CA0000014618"
"3998370132_R11C01" "CA0000014627"
"3998352131_R09C02" "CA0000014628"
"3998346070_R05C02" "CA0000014629"
"3998352129_R07C02" "CA0000014648"
"3998346047_R05C01" "CA0000014649"
"3998370132_R01C02" "CA0000014650"
"3998359166_R10C02" "CA0000001469"
"3998370132_R03C01" "CA0000014690"
"3998346070_R06C01" "CA0000014691"
"3998370109_R12C01" "CA0000014692"
"3998352129_R04C01" "CA0000014698"
"3998352136_R09C02" "CA0000014699"
"3998352136_R04C02" "CA0000014700"
"3998352129_R12C02" "CA0000014709"
"3998359166_R06C01" "CA0000001471"
"3998352084_R04C01" "CA0000014710"
"3998352136_R11C01" "CA0000014711"
"3998352129_R07C01" "CA0000014722"
"3998352136_R08C01" "CA0000014724"
"3998346047_R01C01" "CA0000014729"
"3998359166_R09C01" "CA0000014731"
"3998352136_R05C01" "CA0000014736"
"3998359111_R11C02" "CA0000014741"
"3998370159_R04C01" "CA0000014747"
"3998352136_R04C01" "CA0000014749"
"3998352084_R11C01" "CA0000014750"
"3998352106_R04C01" "CA0000014751"
"3998352162_R11C01" "CA0000014753"
"3998370052_R07C01" "CA0000014755"
"3998370159_R10C01" "CA0000014756"
"3998352111_R09C02" "CA0000014770"
"3998346047_R10C01" "CA0000014775"
"3998346045_R04C01" "CA0000014776"
"3998370052_R12C02" "CA0000014780"
"3998346045_R11C02" "CA0000014781"
"3998346047_R09C02" "CA0000014783"
"3998352162_R09C01" "CA0000014790"
"3998346047_R08C01" "CA0000014792"
"3998346075_R12C02" "CA0000014794"
"3998370162_R06C02" "CA0000014797"
"3998352073_R06C01" "CA0000014798"
"3998346011_R11C02" "CA0000014799"
"3998346047_R02C02" "CA0000014804"
"3998346047_R03C01" "CA0000014812"
"3998346047_R11C02" "CA0000014813"
"3998346045_R03C01" "CA0000014822"
"3998370037_R09C01" "CA0000014830"
"3998359111_R04C01" "CA0000014832"
"3998352073_R03C01" "CA0000014844"
"3998359111_R04C02" "CA0000014845"
"3998359166_R07C01" "CA0000014847"
"3998352073_R11C02" "CA0000014848"
"3998346045_R01C02" "CA0000001485"
"3998370159_R07C01" "CA0000014858"
"3998346047_R03C02" "CA0000001486"
"3998346047_R07C01" "CA0000001487"
"3998352164_R09C01" "CA0000014909"
"3998370037_R02C01" "CA0000014925"
"3998359118_R06C01" "CA0000014986"
"3998359118_R12C01" "CA0000015066"
"3998352073_R04C02" "CA0000015167"
"3998359111_R06C01" "CA0000015168"
"3998359118_R10C01" "CA0000015173"
"3998346045_R08C01" "CA0000015214"
"3998346072_R01C01" "CA0000001523"
"3998352106_R09C01" "CA0000001524"
"3998352073_R02C01" "CA0000015240"
"3998359111_R12C01" "CA0000015241"
"3998370052_R05C01" "CA0000015244"
"3998352073_R07C02" "CA0000015247"
"3998346071_R02C02" "CA0000001525"
"3998352111_R12C01" "CA0000015251"
"3998359166_R01C01" "CA0000015252"
"200180700008_R01C01" "CA0000015255"
"3998359118_R01C02" "CA0000015259"
"3998359166_R04C02" "CA0000015262"
"3998352073_R08C01" "CA0000015265"
"3998346045_R03C02" "CA0000015271"
"3998370159_R05C02" "CA0000015283"
"3998359166_R06C02" "CA0000015286"
"3998352111_R04C02" "CA0000015297"
"3998359111_R10C01" "CA0000015298"
"3998370159_R01C01" "CA0000015300"
"3998359019_R01C01" "CA0000015303"
"3998370052_R06C02" "CA0000015305"
"3998370037_R08C02" "CA0000015331"
"3998352167_R03C01" "CA0000015348"
